"","estacion","ch_max","ch_min","cn_max","cn_min","cs_max","cs_min","estad_ch_max","estad_ch_min","estad_cn_max","estad_cn_min","estad_cs_max","estad_cs_min"
"1",32.79622093,48.5024337768555,42.7044486999512,37.9480972290039,29.7768936157227,22.5002136230469,13.9652919769287,"r2: 0.88","r2: 0.88","r2: 0.87","r2: 0.87","r2: 0.86","r2: 0.83"
"2",49.25696047,83.8403015136719,76.7656173706055,70.3529052734375,59.1746063232422,47.6032829284668,33.416332244873,"rmse: 23.19","rmse: 19.5","rmse: 16.68","rmse: 13.8","rmse: 14.14","rmse: 18.81"
"3",65.35274651,122.32381439209,114.426239013672,106.81143951416,93.3567810058594,78.0107955932617,58.7122039794922,"bias: 39.9","bias: 24.8","bias: 12.4","bias: -8.6","bias: -27.6","bias: -49.5"
"4",66.81569302,74.1739120483398,67.1585235595703,60.8345184326172,49.9325637817383,38.8552436828613,25.6574840545654,"nash: -0.37","nash: 0.03","nash: 0.29","nash: 0.51","nash: 0.49","nash: 0.1"
"5",37.26792791,21.9313716888428,17.8928546905518,14.9612503051758,10.2896757125854,6.96330451965332,3.85946750640869,"","","","","",""
"6",18.4421814,5.49773263931274,4.04503965377808,3.34964847564697,2.3727924823761,2.50303077697754,3.38361120223999,"","","","","",""
"7",9.356365116,3.85860157012939,2.66702365875244,2.04959487915039,1.4918577671051,1.83257985115051,3.18430328369141,"","","","","",""
"8",5.742497674,1.97741150856018,1.31858897209167,1.22247159481049,1.25520551204681,2.19884181022644,4.03113889694214,"","","","","",""
"9",9.639216279,24.3556518554688,20.2537422180176,17.1429710388184,12.2531547546387,8.46648597717285,4.95642280578613,"","","","","",""
"10",22.02709302,45.9105529785156,40.2214546203613,35.5955963134766,27.6168727874756,20.6407375335693,12.4403495788574,"","","","","",""
"11",24.39139767,39.1192817687988,33.8466148376465,29.6962451934814,22.5645446777344,16.6123065948486,9.7591495513916,"","","","","",""
"12",25.85775814,41.9627113342285,36.7431716918945,32.6645584106445,25.4462757110596,19.4144458770752,12.0837230682373,"","","","","",""
