"","estacion","ch_max","ch_min","cn_max","cn_min","cs_max","cs_min","estad_ch_max","estad_ch_min","estad_cn_max","estad_cn_min","estad_cs_max","estad_cs_min"
"1",60.13423263,74.1775512695312,61.5231895446777,57.4505653381348,42.4839820861816,38.2938575744629,26.1255531311035,"r2: 0.9","r2: 0.89","r2: 0.89","r2: 0.87","r2: 0.85","r2: 0.62"
"2",91.39944205,87.2854309082031,72.4450302124023,66.7568206787109,48.9234008789062,43.0742797851562,27.4140701293945,"rmse: 19.02","rmse: 18.11","rmse: 18.12","rmse: 23.1","rmse: 24.73","rmse: 31.9"
"3",100.5304886,125.335945129395,106.771339416504,98.0833129882812,74.1588745117188,63.2574844360352,39.3348960876465,"bias: -9.7","bias: -24.2","bias: -27.3","bias: -41.7","bias: -41.6","bias: -44.9"
"4",66.9969765,34.8261299133301,26.3708534240723,24.8040199279785,16.7072429656982,16.6095905303955,14.4990386962891,"nash: 0.57","nash: 0.61","nash: 0.61","nash: 0.37","nash: 0.27","nash: -0.21"
"5",32.20701376,4.76474142074585,4.34718465805054,5.76233577728271,7.67883205413818,11.7328433990479,19.976245880127,"","","","","",""
"6",20.24359939,2.58910703659058,3.64788460731506,5.21033143997192,8.56813716888428,12.856499671936,22.2086219787598,"","","","","",""
"7",16.57737215,2.49803376197815,3.92705416679382,5.5057373046875,9.16872882843018,13.4787282943726,23.0401000976562,"","","","","",""
"8",15.0093488,2.51328015327454,3.71056795120239,5.29082012176514,8.77482604980469,13.0786266326904,22.5241298675537,"","","","","",""
"9",16.10406973,4.90543079376221,4.45637941360474,5.91641664505005,7.77652502059937,11.8682861328125,20.0429286956787,"","","","","",""
"10",21.55172093,21.4909648895264,16.420877456665,16.4153289794922,12.4987659454346,14.4135389328003,16.6933059692383,"","","","","",""
"11",26.22872093,27.3781318664551,22.1801013946533,22.4667358398438,17.6451854705811,19.6288318634033,19.9972724914551,"","","","","",""
"12",37.14539696,67.6736373901367,56.3281326293945,53.0376853942871,39.6391716003418,36.1041526794434,25.8223438262939,"","","","","",""
